('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         673989 function calls (655647 primitive calls) in 1.495 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      952    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      906    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      906    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      895    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      895    0.004    0.000    0.007    0.000 _compiler.py:243(_optimize_charset)
      880    0.001    0.000    0.002    0.000 _parser.py:449(_uniq)
      852    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      852    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
      842    0.002    0.000    0.002    0.000 {built-in method posix.stat}
      839    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
  803/348    0.001    0.000    0.002    0.000 element.py:2336(_matches)
      802    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      731    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      723    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
      718    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      646    0.000    0.000    0.000    0.000 element.py:2203(_normalize_search_value)
      640    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      632    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
      595    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      595    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
  557/539    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
  512/508    0.006    0.000    0.063    0.000 {built-in method builtins.__build_class__}
      512    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      508    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      503    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      502    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      498    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      488    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      488    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      481    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      480    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      472    0.002    0.000    0.002    0.000 css_types.py:41(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
    432/8    0.000    0.000    0.191    0.024 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      425    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      413    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      407    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      407    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      401    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      376    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      376    0.001    0.000    0.001    0.000 enum.py:1562(__and__)
      375    0.000    0.000    0.000    0.000 typing.py:1134(_is_dunder)
      353    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      349    0.000    0.000    0.000    0.000 typing.py:1188(__setattr__)
      347    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      334    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      329    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      329    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
      320    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      320    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      318    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      318    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      317    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      316    0.000    0.000    0.000    0.000 socket.py:732(readable)
      315    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      315    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
