('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         680476 function calls (662099 primitive calls) in 1.716 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
     2707    0.001    0.000    0.002    0.000 element.py:1371(is_empty_element)
      259    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:304(acquire)
    218/5    0.001    0.000    0.323    0.065 <frozen importlib._bootstrap>:1349(_find_and_load)
     3683    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     7535    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     1057    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
      121    0.001    0.000    0.003    0.000 _compiler.py:467(_get_charset_prefix)
     2720    0.001    0.000    0.002    0.000 __init__.py:773(handle_data)
      895    0.001    0.000    0.002    0.000 _compiler.py:216(_compile_charset)
      324    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
       17    0.001    0.000    0.003    0.000 __init__.py:355(namedtuple)
     1360    0.001    0.000    0.002    0.000 _parser.py:172(__setitem__)
      188    0.001    0.000    0.008    0.000 _compiler.py:511(_compile_info)
       11    0.001    0.000    0.251    0.023 {method 'join' of 'bytes' objects}
    52/14    0.001    0.000    0.021    0.002 css_parser.py:911(parse_selectors)
     3125    0.001    0.000    0.007    0.000 {built-in method builtins.next}
       13    0.001    0.000    0.007    0.001 enum.py:919(_convert_)
      188    0.001    0.000    0.139    0.001 _compiler.py:740(compile)
     4644    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     2760    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      259    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      880    0.001    0.000    0.002    0.000 _parser.py:449(_uniq)
    164/1    0.001    0.000    1.716    1.716 {built-in method builtins.exec}
      376    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
     3818    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     2708    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
    217/5    0.001    0.000    0.323    0.065 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       49    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
        1    0.001    0.001    0.001    0.001 {built-in method _socket.getaddrinfo}
     2481    0.001    0.000    0.003    0.000 css_parser.py:307(match)
     1425    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
       77    0.001    0.000    0.007    0.000 css_parser.py:462(parse_attribute_selector)
     2815    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      195    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
       21    0.001    0.000    0.736    0.035 __init__.py:1(<module>)
     2574    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      259    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      191    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     3149    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
    191/5    0.001    0.000    0.322    0.064 <frozen importlib._bootstrap>:911(_load_unlocked)
      188    0.001    0.000    0.086    0.000 _parser.py:969(parse)
       52    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     5803    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
      259    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      906    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     2595    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
       43    0.001    0.000    0.008    0.000 response.py:122(decompress)
   441/10    0.001    0.000    0.320    0.032 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     2814    0.001    0.000    0.001    0.000 element.py:2062(descendants)
     1002    0.001    0.000    0.002    0.000 _compiler.py:398(_simple)
     2707    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
      162    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     2708    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
     2560    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
       15    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      171    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      314    0.001    0.000    0.954    0.003 ssl.py:1237(recv_into)
      400    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
      162    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     1157    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
       19    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
      324    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      259    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
       20    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      156    0.000    0.000    0.002    0.000 typing.py:175(_type_check)
      412    0.000    0.000    0.001    0.000 _parser.py:265(getwhile)
     1426    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     2515    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     2338    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
  136/131    0.000    0.000    0.004    0.000 css_parser.py:385(freeze)
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
    162/5    0.000    0.000    0.322    0.064 <frozen importlib._bootstrap_external>:989(exec_module)
      488    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      188    0.000    0.000    0.052    0.000 _compiler.py:573(_code)
      188    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      314    0.000    0.000    0.954    0.003 socket.py:693(readinto)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
     1831    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
  191/187    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      217    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
  208/174    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      486    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    1.393    1.393 financial.py:9(get_financial_data)
        1    0.000    0.000    0.004    0.004 packages.py:1(<module>)
       67    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
       19    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      854    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
  557/539    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     1670    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      120    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      718    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      349    0.000    0.000    0.001    0.000 typing.py:1188(__setattr__)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      162    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      488    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
      171    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      495    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
